KEY,TICKER,DATE,TIME,CLOSE
322,SMLT,2024-06-10,22:00:00,3675.600197035091
323,SBER,2024-05-13,10:00:00,298.10956109368
324,SBER,2024-05-13,11:00:00,298.10956109368
325,SBER,2024-05-13,12:00:00,298.10956109368
326,SBER,2024-05-13,13:00:00,298.10956109368
327,SBER,2024-05-13,14:00:00,298.10956109368
328,SBER,2024-05-13,15:00:00,298.10956109368
329,SBER,2024-05-13,16:00:00,298.10956109368
330,SBER,2024-05-13,17:00:00,298.10956109368
331,SBER,2024-05-13,18:00:00,298.10956109368
332,SBER,2024-05-13,20:00:00,298.10956109368
333,SBER,2024-05-13,21:00:00,298.10956109368
334,SBER,2024-05-13,22:00:00,298.10956109368
335,SBER,2024-05-13,23:00:00,298.10956109368
336,SBER,2024-05-14,10:00:00,298.10956109368
337,SBER,2024-05-14,11:00:00,298.10956109368
338,SBER,2024-05-14,12:00:00,298.10956109368
339,SBER,2024-05-14,13:00:00,298.10956109368
340,SBER,2024-05-14,14:00:00,298.10956109368
341,SBER,2024-05-14,15:00:00,298.10956109368
342,SBER,2024-05-14,16:00:00,298.10956109368
343,SBER,2024-05-14,17:00:00,298.10956109368
344,SBER,2024-05-14,18:00:00,298.10956109368
345,SBER,2024-05-14,20:00:00,298.10956109368
346,SBER,2024-05-14,21:00:00,298.10956109368
347,SBER,2024-05-14,22:00:00,298.10956109368
348,SBER,2024-05-14,23:00:00,298.10956109368
349,SBER,2024-05-15,10:00:00,298.10956109368
350,SBER,2024-05-15,11:00:00,298.10956109368
351,SBER,2024-05-15,12:00:00,298.10956109368
352,SBER,2024-05-15,13:00:00,298.10956109368
353,SBER,2024-05-15,14:00:00,298.10956109368
354,SBER,2024-05-15,15:00:00,298.10956109368
355,SBER,2024-05-15,16:00:00,298.10956109368
356,SBER,2024-05-15,17:00:00,298.10956109368
357,SBER,2024-05-15,18:00:00,298.10956109368
358,SBER,2024-05-15,20:00:00,298.10956109368
359,SBER,2024-05-15,21:00:00,298.10956109368
360,SBER,2024-05-15,22:00:00,298.10956109368
361,SBER,2024-05-15,23:00:00,298.10956109368
362,SBER,2024-05-16,10:00:00,298.10956109368
363,SBER,2024-05-16,11:00:00,298.10956109368
364,SBER,2024-05-16,12:00:00,298.10956109368
365,SBER,2024-05-16,13:00:00,298.10956109368
366,SBER,2024-05-16,14:00:00,298.10956109368
367,SBER,2024-05-16,15:00:00,298.10956109368
368,SBER,2024-05-16,16:00:00,298.10956109368
369,SBER,2024-05-16,17:00:00,298.10956109368
370,SBER,2024-05-16,18:00:00,298.10956109368
371,SBER,2024-05-16,20:00:00,298.10956109368
372,SBER,2024-05-16,21:00:00,298.10956109368
373,SBER,2024-05-16,22:00:00,298.10956109368
374,SBER,2024-05-16,23:00:00,298.10956109368
375,SBER,2024-05-17,10:00:00,298.10956109368
376,SBER,2024-05-17,11:00:00,298.10956109368
377,SBER,2024-05-17,12:00:00,298.10956109368
378,SBER,2024-05-17,13:00:00,298.10956109368
379,SBER,2024-05-17,14:00:00,298.10956109368
380,SBER,2024-05-17,15:00:00,298.10956109368
381,SBER,2024-05-17,16:00:00,298.10956109368
382,SBER,2024-05-17,17:00:00,298.10956109368
383,SBER,2024-05-17,18:00:00,298.10956109368
384,SBER,2024-05-17,20:00:00,298.10956109368
385,SBER,2024-05-17,21:00:00,298.10956109368
386,SBER,2024-05-17,22:00:00,298.10956109368
387,SBER,2024-05-17,23:00:00,298.10956109368
388,SBER,2024-05-20,10:00:00,298.10956109368
389,SBER,2024-05-20,11:00:00,298.10956109368
390,SBER,2024-05-20,12:00:00,298.10956109368
391,SBER,2024-05-20,13:00:00,298.10956109368
392,SBER,2024-05-20,14:00:00,298.10956109368
393,SBER,2024-05-20,15:00:00,298.10956109368
394,SBER,2024-05-20,16:00:00,298.10956109368
395,SBER,2024-05-20,17:00:00,298.10956109368
396,SBER,2024-05-20,18:00:00,298.10956109368
397,SBER,2024-05-20,20:00:00,298.10956109368
398,SBER,2024-05-20,21:00:00,298.10956109368
399,SBER,2024-05-20,22:00:00,298.10956109368
400,SBER,2024-05-20,23:00:00,298.10956109368
